n_guests,mean_number_passes,inefficiency
2,1.0,0.0
3,3.0,0.5
4,5.999999999999999,0.9999999999999998
5,10.0,1.5
6,14.999999999999996,1.9999999999999991
7,20.999999999999993,2.4999999999999987
8,27.99999999999999,2.9999999999999987
9,35.99999999999999,3.499999999999999
10,44.99999999999998,3.9999999999999973
11,54.99999999999997,4.499999999999997
12,65.99999999999997,4.999999999999997
13,77.99999999999994,5.499999999999996
14,90.99999999999994,5.999999999999996
15,104.99999999999993,6.499999999999995
16,119.99999999999994,6.9999999999999964
17,135.9999999999999,7.499999999999993
18,152.99999999999986,7.999999999999991
19,170.99999999999974,8.499999999999986
20,189.99999999999972,8.999999999999986
