n_guests,guest_number,probability_last,mean_number_passes
2,1,1.0,1.0
3,1,0.5,3.0
3,2,0.5,3.0
4,1,0.3333333333333333,5.666666666666666
4,2,0.3333333333333333,6.666666666666666
4,3,0.3333333333333333,5.666666666666666
5,1,0.25,9.0
5,2,0.24999999999999997,11.0
5,3,0.24999999999999997,11.0
5,4,0.25,9.0
6,1,0.2,12.999999999999998
6,2,0.19999999999999998,15.999999999999998
6,3,0.19999999999999996,16.999999999999996
6,4,0.19999999999999998,15.999999999999998
6,5,0.2,12.999999999999998
7,1,0.16666666666666666,17.666666666666664
7,2,0.16666666666666663,21.666666666666664
7,3,0.16666666666666663,23.66666666666666
7,4,0.16666666666666663,23.666666666666664
7,5,0.16666666666666663,21.666666666666664
7,6,0.16666666666666666,17.666666666666664
8,1,0.14285714285714282,22.999999999999996
8,2,0.14285714285714282,28.0
8,3,0.1428571428571428,30.999999999999993
8,4,0.1428571428571428,32.0
8,5,0.1428571428571428,31.0
8,6,0.14285714285714282,27.999999999999996
8,7,0.14285714285714282,22.999999999999996
9,1,0.12499999999999997,28.999999999999996
9,2,0.12499999999999997,35.0
9,3,0.12499999999999999,38.99999999999999
9,4,0.12499999999999997,41.00000000000001
9,5,0.12499999999999997,41.00000000000001
9,6,0.12499999999999999,39.00000000000001
9,7,0.12499999999999997,35.0
9,8,0.12499999999999997,28.999999999999996
10,1,0.11111111111111105,35.666666666666664
10,2,0.11111111111111105,42.66666666666667
10,3,0.11111111111111105,47.666666666666664
10,4,0.11111111111111108,50.666666666666664
10,5,0.11111111111111108,51.66666666666667
10,6,0.11111111111111108,50.666666666666664
10,7,0.11111111111111105,47.66666666666667
10,8,0.11111111111111105,42.66666666666667
10,9,0.11111111111111105,35.666666666666664
11,1,0.09999999999999995,42.99999999999999
11,2,0.09999999999999995,51.0
11,3,0.09999999999999994,56.99999999999999
11,4,0.09999999999999995,61.00000000000001
11,5,0.09999999999999996,63.0
11,6,0.09999999999999996,63.0
11,7,0.09999999999999995,61.0
11,8,0.09999999999999994,57.0
11,9,0.09999999999999995,51.0
11,10,0.09999999999999995,42.99999999999999
12,1,0.09090909090909088,51.00000000000001
12,2,0.09090909090909088,60.0
12,3,0.09090909090909087,66.99999999999999
12,4,0.09090909090909087,72.0
12,5,0.09090909090909086,75.0
12,6,0.09090909090909087,75.99999999999999
12,7,0.09090909090909086,75.0
12,8,0.09090909090909087,72.0
12,9,0.09090909090909087,67.00000000000003
12,10,0.09090909090909088,60.0
12,11,0.09090909090909088,51.00000000000001
13,1,0.08333333333333329,59.66666666666666
13,2,0.08333333333333329,69.66666666666666
13,3,0.08333333333333329,77.66666666666667
13,4,0.08333333333333329,83.66666666666667
13,5,0.08333333333333329,87.66666666666667
13,6,0.08333333333333329,89.66666666666666
13,7,0.08333333333333329,89.66666666666666
13,8,0.08333333333333329,87.66666666666666
13,9,0.08333333333333329,83.66666666666666
13,10,0.08333333333333329,77.66666666666666
13,11,0.08333333333333329,69.66666666666666
13,12,0.08333333333333329,59.66666666666666
14,1,0.07692307692307687,69.0
14,2,0.07692307692307687,80.0
14,3,0.07692307692307687,88.99999999999999
14,4,0.07692307692307687,96.0
14,5,0.07692307692307687,101.0
14,6,0.0769230769230769,104.0
14,7,0.07692307692307689,105.0
14,8,0.0769230769230769,103.99999999999999
14,9,0.07692307692307687,101.0
14,10,0.07692307692307687,96.0
14,11,0.07692307692307687,89.0
14,12,0.07692307692307687,80.00000000000003
14,13,0.07692307692307687,69.0
15,1,0.07142857142857137,79.0
15,2,0.07142857142857137,91.0
15,3,0.07142857142857137,101.0
15,4,0.07142857142857137,109.0
15,5,0.07142857142857137,114.99999999999999
15,6,0.07142857142857137,118.99999999999999
15,7,0.07142857142857137,121.00000000000001
15,8,0.07142857142857137,121.00000000000001
15,9,0.07142857142857137,119.00000000000003
15,10,0.07142857142857137,115.00000000000003
15,11,0.07142857142857137,109.00000000000003
15,12,0.07142857142857137,101.00000000000004
15,13,0.07142857142857137,91.00000000000004
15,14,0.07142857142857137,79.0
16,1,0.06666666666666662,89.66666666666667
16,2,0.06666666666666662,102.66666666666666
16,3,0.06666666666666661,113.66666666666669
16,4,0.06666666666666662,122.66666666666666
16,5,0.06666666666666662,129.66666666666669
16,6,0.06666666666666662,134.66666666666669
16,7,0.06666666666666662,137.66666666666669
16,8,0.06666666666666661,138.66666666666666
16,9,0.06666666666666662,137.66666666666669
16,10,0.06666666666666662,134.66666666666669
16,11,0.06666666666666662,129.66666666666666
16,12,0.06666666666666662,122.66666666666667
16,13,0.06666666666666661,113.66666666666666
16,14,0.06666666666666662,102.66666666666666
16,15,0.06666666666666662,89.66666666666667
17,1,0.062499999999999944,101.0
17,2,0.062499999999999944,115.0
17,3,0.062499999999999944,127.0
17,4,0.062499999999999944,137.00000000000006
17,5,0.062499999999999944,145.0
17,6,0.062499999999999944,151.0
17,7,0.062499999999999944,155.0
17,8,0.06249999999999994,157.0
17,9,0.06249999999999994,157.00000000000003
17,10,0.062499999999999944,155.0
17,11,0.062499999999999944,151.0
17,12,0.062499999999999944,145.00000000000003
17,13,0.062499999999999944,137.0
17,14,0.062499999999999944,127.0
17,15,0.062499999999999944,115.0
17,16,0.062499999999999944,101.0
18,1,0.05882352941176465,113.0
18,2,0.05882352941176465,128.0
18,3,0.05882352941176464,141.0
18,4,0.05882352941176464,152.0
18,5,0.05882352941176465,161.00000000000003
18,6,0.05882352941176465,168.00000000000003
18,7,0.05882352941176464,173.00000000000006
18,8,0.058823529411764636,176.00000000000006
18,9,0.058823529411764636,177.00000000000006
18,10,0.058823529411764636,176.0
18,11,0.05882352941176464,173.0
18,12,0.05882352941176465,168.00000000000003
18,13,0.05882352941176465,161.0
18,14,0.05882352941176464,152.00000000000003
18,15,0.05882352941176464,141.00000000000003
18,16,0.05882352941176465,128.0
18,17,0.05882352941176465,113.0
19,1,0.05555555555555548,125.66666666666667
19,2,0.05555555555555548,141.66666666666669
19,3,0.05555555555555548,155.66666666666666
19,4,0.05555555555555548,167.66666666666669
19,5,0.0555555555555555,177.66666666666666
19,6,0.0555555555555555,185.66666666666669
19,7,0.05555555555555548,191.66666666666669
19,8,0.05555555555555548,195.6666666666667
19,9,0.05555555555555548,197.66666666666666
19,10,0.05555555555555548,197.66666666666669
19,11,0.05555555555555548,195.66666666666666
19,12,0.05555555555555548,191.66666666666669
19,13,0.0555555555555555,185.66666666666666
19,14,0.0555555555555555,177.66666666666669
19,15,0.05555555555555548,167.66666666666669
19,16,0.05555555555555548,155.66666666666669
19,17,0.05555555555555548,141.66666666666666
19,18,0.05555555555555548,125.66666666666667
20,1,0.05263157894736835,139.0
20,2,0.05263157894736835,156.0
20,3,0.05263157894736835,171.0
20,4,0.05263157894736835,184.00000000000003
20,5,0.05263157894736835,195.00000000000006
20,6,0.05263157894736835,204.0
20,7,0.05263157894736835,210.99999999999997
20,8,0.05263157894736834,216.0
20,9,0.052631578947368335,219.00000000000006
20,10,0.052631578947368335,220.00000000000003
20,11,0.052631578947368335,218.99999999999997
20,12,0.05263157894736834,216.00000000000006
20,13,0.05263157894736835,211.00000000000003
20,14,0.05263157894736835,204.00000000000003
20,15,0.05263157894736835,195.0
20,16,0.05263157894736835,184.00000000000006
20,17,0.05263157894736835,171.0
20,18,0.05263157894736835,156.0
20,19,0.05263157894736835,139.0
